『你们中间若有缺少智慧的，应当求那厚赐与众人、也不斥责人的神，主就必赐给他』	（雅1：5）
『你若看见弟兄的牛或驴跌倒在路上，不可佯为不见，总要帮助他拉起来』	（申22：4）
『门徒出去，到处宣传福音。主和他们同工，用神迹随著，证实所传的道』	（可16：20）
『神藉著拿撒勒人耶稣在你们中间施行异能、奇事神迹，将他证明出来，这是你们自己知道的。』	（徒2：22）
『主藉他们的手施行神迹奇事，证明他的恩道』	（徒14：3）
『这救恩起先是主亲自讲的，后来是听见的人给我们证实了。神又按自己的旨意，用神迹、奇事和百般的异能，并圣灵的恩赐，同他们作见证。』	（来2：3-4）
『他们说：约翰一件神迹没有行过，但约翰指著这人所说的一切话都是真的』	（约10：41）
『那时，耶路撒冷和犹太全地，并约但河一带地方的人，都出去到约翰那里，承认他们的罪，在约但河里受他的洗。』	（太3：5-6）
『耶稣就对他说：「若不看见神迹奇事，你们总是不信。」	（约4：48）『有许多人看见他所行的神迹，就信了他的名』	（约2：23）
『他虽然在他们面前行了许多神迹，他们还是不信他』	（约12：37）
『这福音本是神的大能，要救一切相信的』	（罗1：16）
『惟有主的道是永存的。所传给你们的福音就是这道』	（彼前1：25）
『一切的灵，不可都信，总要察验那些灵是否出于上帝，因为有许多假先知已经来到世上』	（约一4：1）
『这不法的人来，是照撒但的运动，行各样的异能、神迹，和一切虚假的奇事，』	（帖后2：9）
『我也以我的灵充满了他，使他有智慧，有聪明，有知识，能做各样的工』	（出31：3）
『敬畏耶和华是知识的开端；愚妄人藐视智慧和训诲』	（箴1：7）
『这世界和其上的情欲都要过去，惟独遵行神旨意的，是永远常存』	（约壹2：17）
『不可妄称耶和华你神的名，因为妄称耶和华名的，耶和华必不以他为无罪』	（出20：7）
『不可偏向那些交鬼的和行巫术的；不可求问他们』	（利19：31）
『耶稣对他说：我若要他等到我来的时候，与你何干？你跟从我吧！』	（约21：22）
『这是因他们爱人的荣耀过于爱神的荣耀』	（约12：43）
『主和他们同工，用神迹随著，证实所传的道』	（可16：20）
『西门彼得回答说：主啊，你有永生之道，我们还归从谁呢？』	（约6：68）
『凡只能吃奶的都不熟练仁义的道理，因为他是婴孩』	（来5：13）
『你当竭力在神面前得蒙喜悦，作无愧的工人，按著正意分解真理的道。』	（提后2：15）
『所以，弟兄们，你们要站立得稳，凡所领受的教训，不拘是我们口传的，是信上写的，都要坚守。』	（帖后2：15）
『论到那些已经蒙了光照、尝过天恩的滋味、又于圣灵有分，并尝过神善道的滋味、觉悟来世权能的人，若是离弃道理，就不能叫他们从新懊悔了。因为他们把神的儿子重钉十字架，明明的羞辱他。就如一块田地，吃过屡次下的雨水，生长菜蔬，合乎耕种的人用，就从神得福；若长荆棘和蒺藜，必被废弃，近于咒诅，结局就是焚烧。』	（来6：4-8）
『他们从我们中间出去，却不是属我们的；若是属我们的，就必仍旧与我们同在；他们出去，显明都不是属我们的。』	（约壹2：19）
『弟兄们，若有人偶然被过犯所胜，你们属灵的人就当用温柔的心把他挽回过来；又当自己小心，恐怕也被引诱。』	（加6：1）
『你们既听见真理的道，就是那叫你们得救的福音，也信了基督，既然信他，就受了所应许的圣灵为印记』	（弗1：13）
『我深信那在你们心里动了善工的，必成全这工，直到耶稣基督的日子』	（腓1：6）
『从母腹里就被圣灵充满了』	（路1：15）
『并且被建造在使徒和先知的根基上』	（弗2：20）
『众先知和律法说预言，到约翰为止』	（太11：13）
『弟兄胜过牠，是因羔羊的血和自己所见证的道。他们虽至于死，也不爱惜性命。』	（启12：11）
『然而，属血气的人不领会神圣灵的事，反倒以为愚拙，并且不能知道，因为这些事惟有属灵的人才能看透』	（林前2：14）
『绊倒人的有祸了』	（太18：7）
『对神、对人存无亏的良心、无伪的信心』。	（徒24：16）
『为义受逼迫的人有福了』	（太5：10）
『他们离开公会，心里欢喜，因被算是配为这名受辱』	（徒5：41）
『充充足足，超过我们所求所想』的上帝	（弗3：20）
『工头回答说：「她是摩押女子，跟拿俄米刚从摩押回来。她求我让她跟在收割的人后面，捡工人扎捆时遗落的麦穗。她一大早就来到这里，一直捡到现在，除了在凉棚里稍微坐了一会儿之外，几乎没有休息」』	（得2：6-7）
『你在田间收割庄稼，若忘下一捆，不可回去再取，要留给寄居的与孤儿寡妇。这样，耶和华你神必在你手里所办的一切事上赐福与你』	（申24：19）
『耶和华不使义人受饥饿』	（箴10：3）
『懒惰使人沉睡；懈怠的人必受饥饿』	（箴19：15）
『	（不要）在他的恶行上有分』	（约二1：11）
『若不减少那日子	（灾难），凡有血气的总没有一个得救的；只是为选民，那日子必减少了』	（太24：22）
『因他要为你吩咐他的使者，在你行的一切道路上保护你』	（诗91：11）
『我要使法老的心刚硬，他要追赶他们，我便在法老和他全军身上得荣耀』	（出14：4）
『耶稣听见，就说：「这病不至于死，乃是为神的荣耀，叫神的儿子因此得荣耀。」』	（约11：4）
『耶稣过去的时候，看见一个人生来是瞎眼的。门徒问耶稣说：「拉比，这人生来是瞎眼的，是谁犯了罪？是这人呢？是他父母呢？」耶稣回答说：「也不是这人犯了罪，也不是他父母犯了罪，是要在他身上显出神的作为来」』	（约9：1-3）
『我就观看，见有一匹灰色马；骑在马上的，名字叫作死，阴府也随著他；有权柄赐给他们，可以用刀剑、饥荒、瘟疫、野兽，杀害地上四分之一的人』	（启6：8）
『弟兄们哪，你们要忍耐，直到主来。看哪，农夫忍耐等候地里宝贵的出产，直到得了秋雨春雨。你们也当忍耐，坚固你们的心，因为主来的日子近了』	（雅5：7-8）
『万物的结局近了。所以，你们要谨慎自守，警醒祷告』	（彼前4：7）
『念这书上预言的和那些听见又遵守其中所记载的，都是有福的，因为日期近了』	（启1：3）
『你们在这山上住的日子够了，要起行、、、、如今我将这地摆在你们面前，你们要进去得这地』	（申1：7-8）
『儿啊！你常和我同在，我一切所有的都是你的』	（路15：31）
『并且人人吃喝，在他一切劳碌中享福，这也是神的恩赐』	（传3：13）
『既有愿做的心，也当照你们所有的去办成』	（林后8：11）
『我的轭是容易的，我的担子是轻省的』	（太11：30）
『那税吏远远地站著，连举目望天也不敢，只捶著胸说：「神啊，开恩可怜我这个罪人！」』	（路18：13）
『主啊！求你记念我』	（路23：42）
『万事都互相效力，叫爱神的人得益处，就是按他旨意被召的人』	（罗8：28）
『大卫王来到耶路撒冷，进了宫殿，就把从前留下看守宫殿的十个妃嫔禁闭在冷宫，养活她们，不与她们亲近。她们如同寡妇被禁，直到死的日子。』	（撒下20：3）
『我要等候那掩面不顾雅各家的耶和华；我也要仰望他』	（赛8：17）
『耶稣说：「妇人，你的信心是大的！照你所要的，给你成全了吧。」』	（太15：28）
『到我这里来的，我总不丢弃他』	（约6：37）
『不可严责老年人，只要劝他如同父亲』	（提前5：1）
『灾病在他身上的日子，他便是不洁净；他既是不洁净，就要独居营外』	（利13：46）
『怜悯贫穷的，就是借给耶和华；他的善行，耶和华必偿还』	（箴19：17）
『我的神啊，求你记念我为这百姓所行的一切事，施恩与我』	（尼5：19）
『就往那称呼马可的约翰、他母亲马利亚家去，在那里有好些人聚集祷告』	（徒12：12）
『所亲爱的医生路加和底马问你们安』	（西4：14）
『与我同工的马可、亚里达古、底马、路加也都问你安』	（门1：24）
『因为底马贪爱现今的世界，就离弃我往帖撒罗尼迦去了』	（提后4：10）
『在巴比伦与你们同蒙拣选的教会问你们安。我儿子马可也问你们安』	（彼前5：13）
『父亲，请你把我应得的家业分给我』	（路15：12）
『我们是应该的，因我们所受的与我们所做的相称』	（路23：41）
『不可贪恋人的妻子；也不可贪图人的房屋、田地、仆婢、牛、驴，并他一切所有的』	（申5：21）
『推罗王希兰，平素爱大卫；他听见以色列人膏所罗门，接续他父亲作王，就差遣臣仆来见他』	（王上5：1）
『倘若那不信的人要离去，就由他离去吧！无论是弟兄，是姊妹，遇著这样的事都不必拘束』	（林前7：15）
『若有称为弟兄是行淫乱的，或贪婪的，或拜偶像的，或辱骂的，或醉酒的，或勒索的，这样的人不可与他相交，就是与他吃饭都不可。』	（林前5：11）
『你要写信给士每拿教会的使者，说：那首先的、末后的、死过又活的，说：我知道你的患难，你的贫穷』	（启2：8-9）
『我追想古时之日，思想你的一切作为，默念你手的工作。』	（诗143：5）
『耶和华啊，求你记念你的怜悯和慈爱，因为这是亘古以来所常有的』	（诗25：6）
『恐怕我饱足不认你，说：耶和华是谁呢？』	（箴30：9）
『大而可怕的旷野，那里有火蛇、蝎子、干旱无水之地』	（申8：15）
『我若不信在活人之地得见耶和华的恩惠，就早已丧胆了』	（诗27：13）
『万神之神，万主之主，至大的神，大有能力，大而可畏』	（申10：17）
『耶和华必在你前面行；他必与你同在，必不撇下你，也不丢弃你。不要惧怕，也不要惊惶』	（申31：8）
『我岂没有吩咐你吗？你当刚强壮胆！不要惧怕，也不要惊惶；因为你无论往哪里去，耶和华你的神必与你同在』	（书1：9）
